type;src;title;date;description;
video;videos/thegiornalisti.mp4;Thegiornalisti;24 agosto 2023;Sentence mixing volgarotto, ma soprattutto MOLTO genovese!!! Rima concepita già nell'estate del 2017, ma mai tradotta in meme fino all'agosto del 2023. A volte i meme ci mettono un po' a trovare la strada di casa.;
img;photos/molchat.jpg;Erzelli Molchat Doma;8 dicembre 2023;Chi non conosce l'iconico album 'Etazhe' dei Molchat Doma? Qui ho reimmaginato la copertina adattandola a un panorama familiare a me e ormai a un po' tutti i genovesi.;
img;photos/Padana.webp;Nebbia in Valpadana;8 dicembre 2024;Meme che nascono da altri meme (più o meno): questa pic è stata infatti ispirata dal mio viaggio in treno avanti e indietro da Torino per il Memissima 2024.;
video;videos/Genova_Alberi.mp4;La rivolta degli alberi;15 marzo 2025;Un meme di critica sociale vista la situazione degli alberi che crollano nei parchi genovesi, esasperata in quei giorni dal tragico caso della donna morta schiacciata da una palma in Piazza Paolo da Novi. Qui io e i miei colleghi di Genowa abbiamo immaginato che fosse in atto una rivolta degli alberi - il sottofondo musicale con 'Lux Aeterna' amplifica la drammaticità del tutto.;
img;photos/20set_1.jpg;Il 20 in Via XX Settembre (1);20 settembre 2021;Il 20 in Via XX Settembre alle ore 20:20 del 20 settembre 2021.;
img;photos/20set_2.jpg;Il 20 in Via XX Settembre (2);23 febbraio 2022;La foto del 20 in Via XX Settembre alle 20:20 del 20 settembre precedente davanti a una pizza '23' della pizzeria '23 Febbraio' (via della Libertà 92r) alle 20:22 del 23 febbraio 2022.;
img;photos/20set_3.jpg;Il 20 in Via XX Settembre (3);5 maggio 2022;La foto della foto del 20 in Via XX Settembre alle 20:20 del 20 settembre precedente davanti a una pizza '23' della pizzeria '23 Febbraio' alle 20:22 del 23 febbraio 2022 davanti al ristorante '5 maggio' in via 5 Maggio il 5 maggio 2022.;
img;photos/20set_4.jpg;Il 20 in Via XX Settembre (4);30 giugno 2022;La foto della foto del 20 in Via XX Settembre alle 20:20 del 20 settembre precedente davanti a una pizza '23' della pizzeria '23 Febbraio' alle 20:22 del 23 febbraio 2022 davanti al ristorante '5 maggio' in via 5 Maggio il 5 maggio in via 30 giugno 1960 il 30 giugno 2022.;
img;photos/20set_5.jpg;Il 20 in Via XX Settembre (5);20 settembre 2022;La foto della foto del 20 in Via XX Settembre alle 20:20 del 20 settembre precedente davanti a una pizza '23' della pizzeria '23 Febbraio' alle 20:22 del 23 febbraio 2022 davanti al ristorante '5 maggio' in via 5 Maggio il 5 maggio in via 30 giugno 1960 il 30 giugno davanti al 20 in via XX Settembre il 20 settembre 2022 alle ore 20; 16 minuti (cioè 20-2²) e 55 secondi (cioè 2 volte 2⁰+2²)
img;photos/20set_6.jpg;Il 20 in Via XX Settembre (6);12 ottobre 2022;La foto della foto del 20 in Via XX Settembre alle 20:20 del 20 settembre precedente davanti a una pizza '23' della pizzeria '23 Febbraio' alle 20:22 del 23 febbraio 2022 davanti al ristorante '5 maggio' in via 5 Maggio il 5 maggio in via 30 giugno 1960 il 30 giugno davanti al 20 in via XX Settembre il 20 settembre 2022 alle ore 20, 16 minuti (cioè 20-2²) e 55 secondi (cioè 2 volte 2⁰+2²) in via XII ottobre il 12 ottobre 2022.;
video;videos/TottiMorse.mp4;La barzelletta di Totti e Del Piero, ma è in codice Morse;8 febbraio 2019;La scena della barzelletta di Totti e Del Piero che consegnano entrambi in bianco è stata, negli anni, oggetto perenne di grandi memate. Non saprei spiegare come mai mi sia venuto in mente di tradurla proprio in codice Morse con un sito apposito, ma direi che funziona alla grande.;
video;videos/MALEDETTI.mp4;MALEDETTI;27 febbraio 2019;A fine febbraio 2019 divenne virale la clip di un'anziana che gridava 'MALEDETTIIIII!' dietro a un inviato di SkyTG24 a Montecitorio. Immediato, per me, il paragone con la scena iniziale del Re Leone col caratteristico urlo. Nel video si vedono anche i pastori sardi intenti a rovesciare bidoni di latte in segno di protesta - altro tema molto caldo in quei giorni.;
video;videos/SalviniSimpson.mp4;Homer Salvini visita il negozio di giocattoli;11 maggio 2019;Ospite presso Lilli Gruber su La7, Salvini si concesse un piccolo sfogo lamentando di essere spesso oggetto di striscioni e scritte sui muri particolarmente impietosi nei suoi confronti. Il ritaglio del pezzo in cui ripeteva le testuali parole che leggeva in giro, decontestualizzato, divenne virale e offrì lo spunto per la sua fusione con questa divertentissima scena dei Simpson.;
video;videos/ViviNellAria.mp4;Dibba vive nell'aria;15 giugno 2019;In quei giorni si era consumata la rottura tra Alessandro Di Battista e il Movimento 5 Stelle. L'assurdità del video rispecchia appieno le teorie di Michail Bakhtin sul grottesco, a mio parere.;
video;videos/MarioGiordano.mp4;Mario Giordano;16 luglio 2019;Video praticamente 'nonsense' ispirato da una delle tante scene celebri di Mario Giordano, unita a un grande successo dance quale 'Dieci Cento Mille' (qui in versione nightcore). La clip di Salvini che dice 'Olè' è presa dal video promozionale del concorso 'Vinci Salvini'.;
video;videos/Zequila.mp4;ASMR: Zequila vs Pappalardo (MAI PIÙ);17 agosto 2019;Con questo avevo fatto il record di like nell'epoca pre-reels (17.800). Ispirato da un ridoppiaggio ASMR di Dragon Ball che avevo visto in giro settimane prima, presi questa indimenticabile scena del trash italiano e ne feci una mia versione, registrata tutta in una sola 'take' in cui interpretai tutti i personaggi - le sovrapposizioni le feci poi in fase di mixaggio.;
video;videos/ClaudioBisioYuGiOh.mp4;Bisi-Oh!;26 agosto 2019;Un altro dei miei pezzi più celebri, nato per caso in montagna quando, durante una passeggiata, totalmente a caso pensai 'Ma se sostituissi Yu-Gi-Oh nella sigla con Claudio Bisio?'. Il resto è storia. La registrazione della traccia locale avvenne nella camera del B&B di Castelrotto (BZ) dove soggiornavo, mentre il montaggio fu completato a Genova.;
video;videos/Eiffel_65.mp4;Wojak di Dance all night;3 febbraio 2020;Un altro filone a me molto caro, che mi pento di non aver coltivato abbastanza (ma l'animazione, per quanto semplice, richiede tempo e impegno). Qui ci sono tanti layers, tra cui il Pandino pastorizioso e la presenza dei Cheems-buttafuori.;
video;videos/BugoMorganGuitarHero.mp4;Bugo e Morgan, ma è un'esibizione andata male in Guitar Hero;10 febbraio 2020;Come dimenticare il celebre siparietto tra Bugo e Morgan a Sanremo 2020? I lievi errori di Morgan durante il canto della versione modificata e l'interruzione dell'esibizione mi ricordarono di quando in Guitar Hero un'esibizione si interrompeva dopo che veniva commesso un tot di errori - tutti segnalati da un effetto sonoro, credo proprio il feedback di una chitarra elettrica.;
video;videos/Jenga.mp4;Francesco Jenga;25 marzo 2020;Questa cosa me la sono sognata per davvero: a Jenga ho giocato spesso, e sono un grande fan dei Timoria, la band in cui Francesco Renga ha cantato tra il 1985 e il 1998. Le cose potevano forse non unirsi? All'inizio volevo farlo in 3D, ma all'epoca non conoscevo ancora bene la modellazione, così ho risolto mettendo ogni blocco in una traccia video di Magix Vegas e animandole separatamente.;
video;videos/MattarellaBoris.mp4;I fuorionda di Mattarella, ma è una scena di 'Occhi del Cuore';27 marzo 2020;Nel bel mezzo della pandemia, ci fu una sera in cui l'oggetto dei meme di tutto l'internet italiano furono i fuori onda del Presidente Sergio Mattarella, caricati per errore (?) sul sito del Quirinale. Qui li ho reimmaginati nel contesto della celebre serie TV 'Boris'. Questo video ricevette, tra i tanti apprezzamenti, il like di Caterina Guzzanti.;
video;videos/Jojo_.mp4;L'ora esatta è offerta da: Giorno;9 maggio 2020;Tutte le volte che ascoltavo 'Giorno's Theme' della colonna sonora di Jojo non potevo fare a meno di questa somiglianza - quindi, perché non unire i due pezzi, dando a Jojo un tocco di cultura pop italiana? Così ritagliai e ripulii un sample della Canzone dell'Ora Esatta e lo intonai su FL Studio.;
video;videos/PES6Cockrating.mp4;Cockrating, ma fatto dai telecronisti di PES 6;20 maggio 2020;Una delle mie creazioni migliori, davvero. Ispirata dalla wave del cockrating, l'idea mi venne mentre giocavo a PES 6 su PC. Registrai la telecronaca di un Real Madrid-Milan e il montaggio si fece praticamente da solo. Fu molto bello riuscire a cacciarci questi riferimenti ai tempi delle YTP.;
video;videos/Brumotti_AssassinsCreed.mp4;Brumotti's Creed;30 maggio 2020;Un pestaggio ai danni di Vittorio Brumotti nell'ambito di un servizio di Striscia La Notizia, rivisto come uno scontro con le guardie di Assassin's Creed 2. L'interfaccia grafica è presa da un video che registrai facendomi colpire di proposito in Piazza San Marco a Venezia - all'epoca ero MOLTO in fissa con AC2, che era stato regalato da mamma Ubisoft durante la pandemia.;
video;videos/CheemsTG5.mp4;Italian kids' breakfast in the early 2000s was like;27 ottobre 2020;Questo è uno dei miei pezzi più celebri, assolutamente 'relatable' in quanto rappresenta uno spaccato di vita che praticamente tutti, soprattutto della mia generazione, abbiamo vissuto. Solo a sentire la musichetta di sottofondo viene sonno, esattamente come accadeva alle 7 di mattina prima di andare a scuola.;
video;videos/Ligabue.mp4;Un BONK all'anima;12 gennaio 2021;Ecco un altro video musicale a base di meme: qui il protagonista è il grande Cheems, alle prese con la ricerca della sua .;
video;videos/Marmellata25.mp4;Wojak #25;2 febbraio 2021;Altro video musicale a base di meme, che questa volta illustra il testo di 'Marmellata #25' di Cesare Cremonini.;
video;videos/GrilloBerlu.mp4;The virgin Grillo vs the chad Berlusconi;20 aprile 2021;Un grande esempio di come la comunicazione possa passare anche solo tramite le immagini, senza dover ricorrere a una didascalia che fornisca ulteriore contesto.;
img;photos/ELSA.jpg;ELSA;30 ottobre 2021;Quando ero alle elementari e alle medie (metà degli anni Duemila), scrivere ELSA sul diario era un must. Grazie a questa pic, ho capito che il fenomeno era decisamente più vasto e antico di quello che mi aspettavo. Le magie di internet!;
img;photos/Perugiamobile.webp;Perugiamobile;24 novembre 2021;Non c'è tempo per spiegare il meme, dovete salire TUTTI sulla Perugiamobile!!! Ne va del destino dell'umanità.;
img;photos/GigiDAlessio.jpg;Videoclip;26 novembre 2021;Questa pic rientra nel filone del Memegiornale: commenta infatti un fatto di cronaca realmente accaduto, quando le riprese di un videoclip di Gigi D'Alessio a Napoli portarono a galla un tradimento. La donna coinvolta ottenne dalla Sony un risarcimento per il conseguente divorzio... strano il mondo, vero? E ovviamente ci scappò il meme.;
img;photos/Juve.jpg;La Juve ruba (i cuori);27 novembre 2021;Anche qui, Memegiornale: il giorno prima Agnelli, Nedved e Paratici erano finiti sotto indagine per falso in bilancio. Ma io so quale reato avevano commesso veramente...;
img;photos/Renatino.jpg;Renatino;3 dicembre 2021;Una delle campagne pubblicitarie andate peggio di cui abbia memoria: quella del Parmigiano Reggiano con Renatino, il personaggio di fantasia che incarnava i lavoratori stakanovisti della ditta. Fu un ritorno di fiamma assurdo (ma, devo dire, meritato).;
img;photos/Gerry_Scotti_KeithHaring.png;Gerry Scotti visto da Keith Haring;27 dicembre 2021;La famosa caduta di Gerry Scotti sul bancone di Striscia La Notizia, con conseguente sfondamento, vista con gli occhi di Keith Haring. Provai a mintarlo come NFT e venderlo... purtroppo non ci ho fatto i soldi che speravo (almeno finora).;
img;photos/Mattarella2022.jpg;Mattarella J. Fry;29 gennaio 2022;Uno dei miei meme più 'artistici', creato in occasione della rielezione di Mattarella a gennaio 2022. Probabilmente fu più felice di come lo raffigurai, ma una cosa è certa: non ricordo di aver MAI visto un contenuto prendere like così velocemente come questo.;
img;photos/paper.jpg;Pubblicazione articolo sullo 'Screen Infinito';6 aprile 2022;Chi seguiva il mio profilo Facebook tra settembre 2018 e marzo 2019 ricorderà il famoso 'screen dello screen' che postai per 200 giorni di fila. Ebbene, riuscii poi ad esportare la cosa in Olanda, per la precisione all'Institute of Network Cultures dell'Università delle Scienze Applicate di Amsterdam! Nella loro pubblicazione 'PrtScn: The Lazy Art of Screenshot', il mio contributo è alle pagine 62 e 63.;
video;videos/Bisio_Vangelo.mp4;Bisio Vangelo;2 maggio 2022;Abbiamo tutti avuto una copia di QUEL Vangelo lì. Ma ci siamo tutti soffermati sulla celebre copertina? Io scommetto di no.;
img;photos/DraghiMattarella.jpg;Draghi&Mattarella;12 luglio 2022;In un momento di crisi istituzionale come le dimissioni di Mario Draghi, volli giocare sulla sua frase 'Anche i banchieri centrali hanno un cuore'. Ma chi ci dice che tra i due non ci fosse veramente del tenero?;
img;photos/Renzi_Calenda.jpg;Renzi e Calenda, ma è un wallpaper virale nel 2008;11 agosto 2022;Ricordate i wallpaper che andavano di moda negli anni 2000 con il ragazzo e la ragazza che si abbracciavano? Descrissi così l'annuncio dell'alleanza tra Calenda e Renzi per le politiche del settembre 2022.;
img;photos/KatanaMobile.jpg;KatanaMobile;23 novembre 2022;Memegiornale commentando la notizia secondo cui un apprendista di un'azienda italiana del settore energetico era stato licenziato perché avrebbe sostituito la leva del cambio con il manico di una spada giapponese, vandalizzando di fatto l'auto e creando una situazione di grave pericolo per sé e per gli altri. Secondo me, il pericolo era di essere troppo figo.;
video;videos/cuck.mp4;Cuck;29 luglio 2023;Un video molto incompreso, nato dall'impressione che mi aveva lasciato una relazione andata purtroppo male, in cui mi sentivo trattato in un certo modo dalla mia partner dell'epoca. Concepito a casissimo durante una vacanza nella provincia di Cuneo, come un flash nella mente.;
video;videos/ken.mp4;I'm just Ken;29 luglio 2023;Letteralmente io. L'unica differenza col tempo è che gli anni non sono più 26. Ovviamente, volendo contestualizzare tutto, a luglio 2023 era uscito il film di Barbie con Margot Robbie e Ryan Gosling - in quei giorni non si parlava praticamente di altro.;
video;videos/Salvini.mp4;Vino al tramonto;4 agosto 2023;Un vecchio post di Salvini, qui rivisto come una sorta di Peter Griffin davanti a dei cavalli al tramonto - perché proprio i cavalli al tramonto? Ormai dovreste esservi abituati a non chiedere il senso... anche se qui credo che semplicemente desse un'impressione di maggiore 'profondità' alla scena.;
video;videos/Junior.mp4;Io sono fortissimo;17 agosto 2023;Andare a fanculo non è un meme ma uno stile di vita. Farlo con stile come Junior, poi, è proprio di un altro livello, che solo le persone elette riescono a toccare.;
video;videos/MorteCheems.mp4;In morte di Cheems;19 agosto 2023;Video montato nel settembre 2021 e tenuto 'da parte' come commiato per Cheems, un po' come quando i giornalisti scrivono in anticipo gli articoli di commemorazione per personaggi ancora in vita, in modo da averceli già pronti - i cosiddetti 'coccodrilli'. Non mi aspettavo tuttavia che Cheems morisse prima di Doge.;
img;photos/Mazzone_Cheems.webp;Mazzone Cheems;19 agosto 2023;In un solo giorno vennero a mancare il grande Carletto Mazzone e Cheems. Il Memegiornale di quel giorno fu dedicato a entrambi.;
video;videos/Zucchero.mp4;Un kilo;21 agosto 2023;Sentence mixing volgarotto anche qui, è interessante notare come la semplicità della sostituzione di una sillaba abbia stravolto il significato del testo, guadagnandomi più di 50.000 likes su Instagram. Spesso le soluzioni più semplici sono le più efficaci.;
video;videos/Celentano.mp4;Azzurro;24 agosto 2023;Per il filone 'Sentence mixing scatologico', ecco una rima di Celentano (in realtà sarebbe di Paolo Conte) molto efficace e concisa.;
video;videos/thegiornalisti.mp4;Thegiornalisti;24 agosto 2023;Sentence mixing volgarotto, ma soprattutto MOLTO genovese!!! Rima concepita già nell'estate del 2017, ma mai tradotta in meme fino all'agosto del 2023. A volte i meme ci mettono un po' a trovare la strada di casa.;
video;videos/cremonini.mp4;Dicono di me;29 agosto 2023;Questo video nacque come collaborazione con La Memevisione. Qui l'effetto comico è sostanzialmente basato sull'esasperazione della descrizione negativa che i fantomatici detrattori fanno di Cremonini.;
video;videos/negramaro.mp4;Nuvole e Lenzuola;29 agosto 2023;E anche qui, sentence mixing con esasperazione di frasi: qui Giuliano Sangiorgi, autodefinitosi 'stupido e testardo' nel testo originale di 'Nuvole e Lenzuola', continua a darsi definizioni sempre più spinte.;
video;videos/LucioDalla.mp4;Canzone;30 agosto 2023;Anche qui, esasperazione di una o più frasi o concetti: in questo caso il 'testa dura, testa di rapa' che c'è veramente nel testo di 'Canzone', successo di Lucio Dalla datato 1996 firmato da Samuele Bersani.;
video;videos/Propaganda.mp4;Propaganda;1 settembre 2023;Altro esempio di sentence mixing scatologico, che questa volta prende il successo di Colapesce e Dimartino 'Propaganda' e lo stravolge. Mi ha fatto piacere vedere la clip audio riutilizzata da altri memer nei loro reels.;
video;videos/Fedez.mp4;Mille;2 settembre 2023;Un altro del filone 'sentence mixing scatologico', qui ho concretizzato qualcosa che avevo sempre sentito nella canzone fin dal primo ascolto.;
video;videos/Pezzali1.mp4;Come mai?;8 settembre 2023;Anche qui, esasperazione di frasi: come mai? Perché fai questo? Qui stavo iniziando ad applicare ai meme la clonazione delle voci con l'AI. Buon risultato, direi, anche se avrei potuto mixare meglio la seconda parte del video.;
video;videos/PTN.mp4;Scrivile scemo;10 settembre 2023;Di nuovo, esasperazione di frasi: da 'Scrivile scemo', titolo di una celebre canzone dei Pinguini Tattici Nucleari, alla sequela di insulti che si sentono nel video. Ma alla fine, le avrà scritto?;
video;videos/Bisio_CanCan.mp4;Bisio CanCan;11 settembre 2023;La faccia di Claudio Bisio ispira sempre simpatia, allegria, benessere. Qui è stata messa a tempo con il celebre Can Can di Offenbach. Il senso? Nessuno. Ma è tutto bellissimo.;
video;videos/Gazzè.mp4;Il solito sesso;11 settembre 2023;Uno dei primi esempi in cui ho implementato la clonazione delle voci con l'AI a scopi memetici, con grandi risultati. Anche qui l'effetto comico è dovuto all'esasperazione del concetto di 'sesso', con l'enumerazione di sinonimi anche comici tradizionalmente molto in voga nei sottoboschi dello shitposting.;
video;videos/Vecchioni.mp4;Ridere Radere Rudere Rodere;19 settembre 2023;Una specie di delirio musicale, non so come mi sia venuto in mente, ma mi piace, sembra quasi un gioco linguistico. D'altronde lo stesso Vecchioni è un professore di Lettere, quindi penso potrebbe apprezzare.;
video;videos/Mindset.mp4;Mindset;26 settembre 2023;Qui ho voluto ribaltare il messaggio di un video motivazionale, di quelli a base di mindset, sigma male e tutte quelle cose un po' tossiche che imperversano su Instagram e TikTok.;
video;videos/Gnocchi.mp4;Ridi, ridi;7 ottobre 2023;Ridi, ridi, che la mamma ha fatto gli gnocchi! Quante volte ce lo siamo sentiti dire? Ma soprattutto, cosa ci sarebbe da ridere a riguardo? Le grandi domande senza risposta.;
video;videos/SQL_Ferro.mp4;Ferro_SQL;8 ottobre 2023;Chi di voi maneggia database? Ecco, non avrete bisogno che ve lo spieghi. Agli altri dico: prendete molto alla lettera il testo della canzone e provate ad applicarlo tipo alla teoria degli insiemi, raggruppando le categorie che Tizianone enumera. Più o meno dovrebbe rendere l'idea.;
video;videos/Ramazzotti.mp4;Un'emozione per sempre;21 gennaio 2024;Anche qui c'è molto delle YouTube Poop: la piega surreale che prende il video nella seconda metà, però, è degna del miglior/peggior sogno con la febbre alta. Come mi è venuto in mente tutto questo? Non lo so, stavo passeggiando alle Giutte quando ascoltando la canzone questo video ha preso forma nella mia mente.;
video;videos/OnePieceYTP.mp4;YTP - Sigla di One Piece;6 febbraio 2024;Un omaggio alle YouTube Poop, ossia il genere di video da cui sono partito, e soprattutto agli anni d'oro di YouTube (i primi 2010), con citazioni a personaggi quali il professor Testoh, Matteo Montesi e il Nemesis.;
img;photos/LaSad.webp;La Sad;10 febbraio 2024;Una delle rivelazioni del Festival di Sanremo 2024: La Sad, reimmaginati secondo il format 'Me and the Boys', molto in voga a giugno 2019 (i meme 'retrò' mi piacciono).;
video;videos/Vanni.mp4;Dragon Ball;2 marzo 2024;Proprio in quei giorni avevo visto Giorgio Vanni dal vivo alla prima edizione del Megacon alla Fiera del Mare. Impossibile che non ci scappasse un meme a riguardo.;
video;videos/Barzelletta.mp4;Barzelletta surrealista;20 novembre 2024;Una divertente barzelletta che evidenzia le differenze tra un processore Intel, una torta al cioccolato e un cavallo. D'altronde, sono tre cose completamente diverse, giusto?;
img;photos/Spotify1.webp;Spotify Wrapped (1);5 dicembre 2024;Inizio dicembre è il periodo dello Spotify Wrapped, che riassume le statistiche sugli ascolti dell'anno quasi concluso. Ovviamente questo scatenò i mematori di tutto il mondo, e io non potevo di certo fare eccezione.;
img;photos/Spotify2.webp;Spotify Wrapped (2);5 dicembre 2024;Inizio dicembre è il periodo dello Spotify Wrapped, che riassume le statistiche sugli ascolti dell'anno quasi concluso. Ovviamente questo scatenò i mematori di tutto il mondo, e io non potevo di certo fare eccezione.;
img;photos/Spotify3.webp;Spotify Wrapped (3);5 dicembre 2024;Inizio dicembre è il periodo dello Spotify Wrapped, che riassume le statistiche sugli ascolti dell'anno quasi concluso. Ovviamente questo scatenò i mematori di tutto il mondo, e io non potevo di certo fare eccezione.;
img;photos/Spotify4.webp;Spotify Wrapped (4);5 dicembre 2024;Inizio dicembre è il periodo dello Spotify Wrapped, che riassume le statistiche sugli ascolti dell'anno quasi concluso. Ovviamente questo scatenò i mematori di tutto il mondo, e io non potevo di certo fare eccezione.;
img;photos/Spotify5.webp;Spotify Wrapped (5);5 dicembre 2024;Inizio dicembre è il periodo dello Spotify Wrapped, che riassume le statistiche sugli ascolti dell'anno quasi concluso. Ovviamente questo scatenò i mematori di tutto il mondo, e io non potevo di certo fare eccezione.;
img;photos/Padana.webp;Nebbia in Valpadana;8 dicembre 2024;Meme che nascono da altri meme (più o meno): questa pic è stata infatti ispirata dal mio viaggio in treno avanti e indietro da Torino per il Memissima 2024.;
img;photos/Pregiudizi.webp;Cartoline;18 dicembre 2024;Avete presente quei tizi che provano a rifilarvi le cartoline dicendo che sono ex-tossici o ex-carcerati, fermandovi con brutte maniere e praticamente estorcendovi i soldi? Ecco. Qui il template di riferimento è 'Akaichi no Eleven'.;
video;videos/CaliforniaGurls.mp4;California Gurls;11 gennaio 2025;"Questo format viene generalmente usato con i nomi falsi di Kahoot - lavorando nel settore informatico, mi è venuto naturale pensare a tutti quei problemi che saltano fuori durante lo sviluppo di un software, molti dei quali saltano fuori OVVIAMENTE dopo il lancio... a meno che non si abbia un buon tester a disposizione ;)";
img;photos/Zerocalcare.webp;Zerocalcare;23 gennaio 2025;Meme concepito a fine luglio 2023, ci ho messo un po' per trovare il tempo e la voglia di mettere tutto insieme (non c'è l'AI di mezzo qui, è tutto fatto 'a mano'). Però devo dire che il risultato è valso l'attesa.;
img;photos/RealeMutua.webp;Reale Mutua;26 gennaio 2025;Anche questa ispirata alla mia visita a Torino per il Memissima 2024, si rifà ai meme coi personaggi che si strusciano sul banner delle notizie sul COVID.;
img;photos/Spreco.webp;La famiglia pro-spreco;8 febbraio 2025;Sulla scia della wave di 'Evil X will be like', ecco la famiglia pro-spreco, cioè il rovesciamento della famiglia anti-spreco pubblicizzata da un articolo del Corriere della Sera.;
img;photos/PapaVigile.webp;Papa Vigile;24 febbraio 2025;Memegiornale sullo stato di salute di Papa Francesco. Ha avuto molto successo (più di 60.000 like!), infatti me l'hanno copiato in tanti... ma nessuna copia è mai come l'originale!;
video;videos/DDoS.mp4;Attacco DDoS;28 febbraio 2025;Una spiegazione semplice ma efficace di cos'è un attacco DDoS in informatica. Quello dei video didattici fatti in maniera trash è un filone che mi piacerebbe molto seguire di più in futuro.;
video;videos/ClubDogo.mp4;Club Dogo;12 marzo 2025;Per il filone 'Sentence mixing scatologico', ecco una cosa a cui avevo sempre pensato ascoltando questo particolare verso di 'P.E.S.' dei Club Dogo, hit estiva della mia giovinezza e compagna di tanti pomeriggi di sano svago ignorante davanti ai videogiochi mentre fuori imperversava il caldo torrido estivo.;
video;videos/PinguinoFerrari.mp4;Pinguino_Ferrari;14 marzo 2025;Il senso di pensare che proprio a un pinguino possa venire chiesto di disegnare un'auto con dei pastelli? Nessuno. Ma possiamo negare che, effettivamente, farebbe quel verso e prima o poi sparerebbe un po' di cacca pinguinosa dal deretano?;
video;videos/Genova_Alberi.mp4;La rivolta degli alberi;15 marzo 2025;Un meme di critica sociale vista la situazione degli alberi che crollano nei parchi genovesi, esasperata in quei giorni dal tragico caso della donna morta schiacciata da una palma in Piazza Paolo da Novi. Qui io e i miei colleghi di Genowa abbiamo immaginato che fosse in atto una rivolta degli alberi - il sottofondo musicale con 'Lux Aeterna' amplifica la drammaticità del tutto.;
img;photos/SQL_Injection.webp;SQL Injection;16 marzo 2025;Antonello Venditti, noto esperto di informatica e black-hat hacker, inserendo una query maliziosa nel testo di una sua canzone.;
img;photos/LinkedIn.webp;LinkedIn;18 marzo 2025;Questo banner di LinkedIn mi ha fatto venire in mente quella scena dei Simpson... 'Don't forget: you're here forever!'. D'altronde non vedrò mai la pensione...;
